"Species","Species Name","Scientific Name Authorship","Taxon Rank","Kingdom","Phylum","Class","Order","Family","Genus","Vernacular Name","Number of records","Conservation","Invasive"
"https://id.biodiversity.org.au/node/apni/2899817","Batis argillicola","P.Royen","species","Plantae","Charophyta","Equisetopsida","Brassicales","Bataceae","Batis",,"6","",""
"https://id.biodiversity.org.au/node/apni/2899818","Ixia polystachya","L.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Iridaceae","Ixia","Variable Ixia","6","",""
"https://id.biodiversity.org.au/node/apni/2899829","Tephrosia baueri","Benth. ex A.Gray","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae",,,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2899999","Baeckea latifolia","(Benth.) A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Baeckea","Subalpine Baeckea","6","Queensland : Conservation Status | Victoria : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2900158","Xanthosoma violaceum","Schott","species","Plantae","Charophyta","Equisetopsida","Alismatales","Araceae","Xanthosoma","Blue Taro","6","",""
"https://id.biodiversity.org.au/node/apni/2900186","Grevillea paradoxa","F.Muell.","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Grevillea","Bottlebrush Grevillea","6","",""
"https://id.biodiversity.org.au/node/apni/2900561","Grevillea costata","A.S.George","species","Plantae","Charophyta","Equisetopsida","Proteales","Proteaceae","Grevillea",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2900780","Passiflora sanguinolenta","Mast. & Linden","species","Plantae","Charophyta","Equisetopsida","Malpighiales","Passifloraceae","Passiflora",,"6","",""
"https://id.biodiversity.org.au/node/apni/2901477","Indigofera hendecaphylla","Jacq.","species","Plantae","Charophyta","Equisetopsida","Fabales","Fabaceae","Indigofera",,"6","Queensland : Conservation Status | Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2901708","Hibbertia simulans","Toelken","species","Plantae","Charophyta","Equisetopsida",,"Dilleniaceae","Hibbertia",,"6","Queensland : Conservation Status",""
"https://id.biodiversity.org.au/node/apni/2901911","Avicennia integra","N.C.Duke","species","Plantae","Charophyta","Equisetopsida","Lamiales","Acanthaceae","Avicennia","Grey Mangrove","6","",""
"https://id.biodiversity.org.au/node/apni/2901922","Polygala glaucoides","L.","species","Plantae","Charophyta","Equisetopsida","Fabales","Polygalaceae","Polygala",,"6","",""
"https://id.biodiversity.org.au/node/apni/2902027","Miliusa traceyi","Jessup","species","Plantae","Charophyta","Equisetopsida","Magnoliales","Annonaceae","Miliusa",,"6","",""
"https://id.biodiversity.org.au/node/apni/2902047","Achyranthes bidentata","Blume","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Amaranthaceae","Achyranthes",,"6","",""
"https://id.biodiversity.org.au/node/apni/2902489","Hibiscus cannabinus","L.","species","Plantae","Charophyta","Equisetopsida","Malvales","Malvaceae","Hibiscus",,"6","Western Australia : Conservation status",""
"https://id.biodiversity.org.au/node/apni/2902490","Galenia secunda","(L.f.) Sond.","species","Plantae","Charophyta","Equisetopsida","Caryophyllales","Aizoaceae","Galenia","Galenia","6","",""
"https://id.biodiversity.org.au/node/apni/2903012","Logania diffusa","R.J.F.Hend.","species","Plantae","Charophyta","Equisetopsida","Gentianales","Loganiaceae","Logania",,"6","Queensland : Conservation Status | EPBC Act Threatened Species",""
"https://id.biodiversity.org.au/node/apni/2903167","Yucca gloriosa","L.","species","Plantae","Charophyta","Equisetopsida","Asparagales","Asparagaceae","Yucca",,"6","",""
"https://id.biodiversity.org.au/node/apni/2903333","Micromyrtus patula","A.R.Bean","species","Plantae","Charophyta","Equisetopsida","Myrtales","Myrtaceae","Micromyrtus",,"6","Queensland : Conservation Status",""
