Species,Species Name,Scientific Name Authorship,Taxon Rank,Kingdom,Phylum,Class,Order,Family,Genus,Vernacular Name,Conservation,Invasive
https://id.biodiversity.org.au/node/apni/2892232,Eragrostis pubescens,(R.Br.) Steud.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Eragrostis,,,
https://id.biodiversity.org.au/node/apni/2892468,Gamochaeta pensylvanica,(Willd.) Cabrera,species,Plantae,Charophyta,Equisetopsida,Asterales,Asteraceae,Gamochaeta,,,Non-native species
https://id.biodiversity.org.au/node/apni/2892636,Chrysopogon sylvaticus,C.E.Hubb.,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Chrysopogon,,,
https://id.biodiversity.org.au/node/apni/2892753,Bursaria tenuifolia,F.M.Bailey,species,Plantae,Charophyta,Equisetopsida,Apiales,Pittosporaceae,Bursaria,Sweet Bursaria,,
https://id.biodiversity.org.au/node/apni/2893741,Sicyos australis,Endl.,species,Plantae,Charophyta,Equisetopsida,Cucurbitales,Cucurbitaceae,Sicyos,Star Cucumber,Tasmania : Conservation Status | Victoria : Conservation Status,Global Invasive Species Information Network (GISIN)
https://id.biodiversity.org.au/node/apni/2893807,Paspalum regnellii,Mez,species,Plantae,Charophyta,Equisetopsida,Poales,Poaceae,Paspalum,,,Non-native species
https://id.biodiversity.org.au/node/apni/2894053,Fimbristylis depauperata,R.Br.,species,Plantae,Charophyta,Equisetopsida,Poales,Cyperaceae,Fimbristylis,,,
https://id.biodiversity.org.au/node/apni/2894156,Tephrosia filipes,Benth.,species,Plantae,Charophyta,Equisetopsida,Fabales,Fabaceae,Tephrosia,,New South Wales : Conservation Status,Non-native species
https://id.biodiversity.org.au/node/apni/2894206,Richardia stellaris,(Cham. & Schltdl.) Steud.,species,Plantae,Charophyta,Equisetopsida,Gentianales,Rubiaceae,Richardia,,,
https://id.biodiversity.org.au/node/apni/2894361,Podranea ricasoliana,(Tanfani) Sprague,species,Plantae,Charophyta,Equisetopsida,Lamiales,Bignoniaceae,Podranea,Pink Trumpet Vine,,
https://id.biodiversity.org.au/node/apni/2894384,Juncus polyanthemus,Buchenau,species,Plantae,Charophyta,Equisetopsida,Poales,Juncaceae,Juncus,,,Global Invasive Species Information Network (GISIN)
